Country Name,Country Code,Series Name,Series Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Germany,DEU,"Natural capital per capita, agricultural land: pastureland (constant 2018 US$)",NW.NCA.PASL.PC,1415.64,1349.102,1350.529,1318.658
Germany,DEU,"Natural capital per capita, fisheries (constant 2018 US$)",NW.NCA.FISH.PC,19.60636,6.454536,5.915657,6.687864
Germany,DEU,"Natural capital per capita, forests: ecosystem services (constant 2018 US$)",NW.NCA.FECO.PC,1837.164,1831.286,1847.356,1847.686
Germany,DEU,"Natural capital per capita, forests: timber (constant 2018 US$)",NW.NCA.FTIM.PC,404.3222,391.7493,381.3422,374.7041
Germany,DEU,"Natural capital per capita, fossil fuels (constant 2018 US$)",NW.NCA.FOSL.PC,490.0652,302.4151,241.9438,231.9632
Germany,DEU,"Natural capital per capita, mangroves (constant 2018 US$)",NW.NCA.MANG.PC,0,0,0,0
Germany,DEU,"Natural capital per capita, nonrenewable assets (constant 2018 US$)",NW.NCA.SSOI.PC,490.0652,302.4151,241.9438,231.9632
Germany,DEU,"Natural capital per capita, nonrenewable assets: coal (constant 2018 US$)",NW.NCA.SACO.PC,346.8611,192.0421,150.328,158.4735
Germany,DEU,"Natural capital per capita, nonrenewable assets: gas (constant 2018 US$)",NW.NCA.SAGA.PC,66.24668,51.98857,38.18544,28.73472
Germany,DEU,"Natural capital per capita, nonrenewable assets: minerals (constant 2018 US$)",NW.NCA.MINR.PC,0,0,0,0
Germany,DEU,"Natural capital per capita, nonrenewable assets: oil (constant 2018 US$)",NW.NCA.SAOI.PC,76.95734,58.38442,53.43028,44.75491
Germany,DEU,"Natural capital per capita, protected areas (constant 2018 US$)",NW.NCA.PRAR.PC,602.2705,601.9271,592.3038,582.5556
Germany,DEU,"Natural capital per capita, renewable (constant 2018 US$)",NW.NCA.RNEW.PC,5583.509,5431.649,5343.635,5291.603
Germany,DEU,"Natural capital, agricultural land (constant 2018 US$)",NW.NCA.AGRI.TO,2.22E+11,2.14E+11,2.08E+11,2.06E+11
Germany,DEU,"Natural capital, agricultural land: cropland (constant 2018 US$)",NW.NCA.CROL.TO,1.07E+11,1.03E+11,9.64E+10,9.63E+10
Germany,DEU,"Natural capital, agricultural land: pastureland (constant 2018 US$)",NW.NCA.PASL.TO,1.16E+11,1.11E+11,1.12E+11,1.09E+11
Germany,DEU,"Natural capital, fisheries (constant 2018 US$)",NW.NCA.FISH.TO,1600000000,5.32E+08,4.89E+08,5.54E+08
Germany,DEU,"Natural capital, forests: ecosystem services (constant 2018 US$)",NW.NCA.FECO.TO,1.50E+11,1.51E+11,1.53E+11,1.53E+11
Germany,DEU,"Natural capital, forests: timber (constant 2018 US$)",NW.NCA.FTIM.TO,33000000000,3.23E+10,3.15E+10,3.11E+10
Germany,DEU,"Natural capital, fossil fuels (constant 2018 US$)",NW.NCA.FOSL.TO,40000000000,2.49E+10,2.00E+10,1.92E+10
Germany,DEU,"Natural capital, mangroves (constant 2018 US$)",NW.NCA.MANG.TO,0,0,0,0
Germany,DEU,"Natural capital, nonrenewable assets (constant 2018 US$)",NW.NCA.SSOI.TO,40000000000,2.49E+10,2.00E+10,1.92E+10
Germany,DEU,"Natural capital, nonrenewable assets: coal (constant 2018 US$)",NW.NCA.SACO.TO,28300000000,1.58E+10,1.24E+10,1.31E+10
